"","X","curr_SRX","sex","simplified_tissue","broad_tissue","simpled_dev","broad_stage","study","cell_line"
"SRX1749108","SRX1749108","SRX1749108","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749109","SRX1749109","SRX1749109","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749110","SRX1749110","SRX1749110","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749111","SRX1749111","SRX1749111","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749112","SRX1749112","SRX1749112","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749113","SRX1749113","SRX1749113","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749114","SRX1749114","SRX1749114","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749116","SRX1749116","SRX1749116","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749117","SRX1749117","SRX1749117","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749118","SRX1749118","SRX1749118","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749119","SRX1749119","SRX1749119","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749120","SRX1749120","SRX1749120","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749121","SRX1749121","SRX1749121","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749122","SRX1749122","SRX1749122","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749123","SRX1749123","SRX1749123","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749124","SRX1749124","SRX1749124","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749125","SRX1749125","SRX1749125","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749126","SRX1749126","SRX1749126","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749127","SRX1749127","SRX1749127","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749128","SRX1749128","SRX1749128","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749129","SRX1749129","SRX1749129","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749130","SRX1749130","SRX1749130","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749131","SRX1749131","SRX1749131","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749132","SRX1749132","SRX1749132","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749133","SRX1749133","SRX1749133","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749134","SRX1749134","SRX1749134","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749135","SRX1749135","SRX1749135","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749136","SRX1749136","SRX1749136","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749137","SRX1749137","SRX1749137","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749138","SRX1749138","SRX1749138","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749139","SRX1749139","SRX1749139","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749140","SRX1749140","SRX1749140","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749141","SRX1749141","SRX1749141","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749142","SRX1749142","SRX1749142","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749143","SRX1749143","SRX1749143","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749144","SRX1749144","SRX1749144","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749145","SRX1749145","SRX1749145","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749146","SRX1749146","SRX1749146","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749147","SRX1749147","SRX1749147","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749148","SRX1749148","SRX1749148","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749149","SRX1749149","SRX1749149","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749150","SRX1749150","SRX1749150","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749151","SRX1749151","SRX1749151","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749152","SRX1749152","SRX1749152","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749153","SRX1749153","SRX1749153","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749154","SRX1749154","SRX1749154","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749155","SRX1749155","SRX1749155","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749156","SRX1749156","SRX1749156","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749157","SRX1749157","SRX1749157","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749158","SRX1749158","SRX1749158","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749159","SRX1749159","SRX1749159","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749160","SRX1749160","SRX1749160","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749161","SRX1749161","SRX1749161","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749162","SRX1749162","SRX1749162","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749163","SRX1749163","SRX1749163","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749164","SRX1749164","SRX1749164","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749165","SRX1749165","SRX1749165","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749166","SRX1749166","SRX1749166","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749167","SRX1749167","SRX1749167","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749168","SRX1749168","SRX1749168","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749169","SRX1749169","SRX1749169","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749170","SRX1749170","SRX1749170","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749171","SRX1749171","SRX1749171","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749172","SRX1749172","SRX1749172","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749173","SRX1749173","SRX1749173","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749174","SRX1749174","SRX1749174","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749175","SRX1749175","SRX1749175","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749176","SRX1749176","SRX1749176","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749177","SRX1749177","SRX1749177","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749178","SRX1749178","SRX1749178","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749179","SRX1749179","SRX1749179","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749180","SRX1749180","SRX1749180","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749181","SRX1749181","SRX1749181","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749182","SRX1749182","SRX1749182","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749183","SRX1749183","SRX1749183","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749184","SRX1749184","SRX1749184","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749185","SRX1749185","SRX1749185","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749187","SRX1749187","SRX1749187","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749188","SRX1749188","SRX1749188","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749189","SRX1749189","SRX1749189","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749190","SRX1749190","SRX1749190","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749191","SRX1749191","SRX1749191","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749192","SRX1749192","SRX1749192","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749193","SRX1749193","SRX1749193","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749194","SRX1749194","SRX1749194","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749195","SRX1749195","SRX1749195","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749196","SRX1749196","SRX1749196","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749197","SRX1749197","SRX1749197","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749198","SRX1749198","SRX1749198","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749199","SRX1749199","SRX1749199","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749200","SRX1749200","SRX1749200","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749201","SRX1749201","SRX1749201","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749202","SRX1749202","SRX1749202","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749203","SRX1749203","SRX1749203","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749204","SRX1749204","SRX1749204","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749205","SRX1749205","SRX1749205","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749206","SRX1749206","SRX1749206","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749207","SRX1749207","SRX1749207","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749208","SRX1749208","SRX1749208","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749209","SRX1749209","SRX1749209","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749210","SRX1749210","SRX1749210","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749211","SRX1749211","SRX1749211","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749212","SRX1749212","SRX1749212","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749213","SRX1749213","SRX1749213","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749214","SRX1749214","SRX1749214","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749215","SRX1749215","SRX1749215","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749216","SRX1749216","SRX1749216","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749218","SRX1749218","SRX1749218","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749219","SRX1749219","SRX1749219","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749220","SRX1749220","SRX1749220","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749221","SRX1749221","SRX1749221","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749222","SRX1749222","SRX1749222","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749223","SRX1749223","SRX1749223","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749224","SRX1749224","SRX1749224","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749225","SRX1749225","SRX1749225","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749226","SRX1749226","SRX1749226","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749227","SRX1749227","SRX1749227","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749228","SRX1749228","SRX1749228","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749229","SRX1749229","SRX1749229","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749230","SRX1749230","SRX1749230","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749231","SRX1749231","SRX1749231","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749232","SRX1749232","SRX1749232","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749233","SRX1749233","SRX1749233","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749234","SRX1749234","SRX1749234","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749235","SRX1749235","SRX1749235","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749236","SRX1749236","SRX1749236","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749237","SRX1749237","SRX1749237","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749238","SRX1749238","SRX1749238","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749239","SRX1749239","SRX1749239","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749240","SRX1749240","SRX1749240","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749241","SRX1749241","SRX1749241","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749242","SRX1749242","SRX1749242","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749243","SRX1749243","SRX1749243","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749244","SRX1749244","SRX1749244","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749245","SRX1749245","SRX1749245","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749246","SRX1749246","SRX1749246","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749247","SRX1749247","SRX1749247","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749248","SRX1749248","SRX1749248","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749249","SRX1749249","SRX1749249","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749250","SRX1749250","SRX1749250","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749251","SRX1749251","SRX1749251","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749252","SRX1749252","SRX1749252","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749253","SRX1749253","SRX1749253","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749254","SRX1749254","SRX1749254","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749255","SRX1749255","SRX1749255","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749256","SRX1749256","SRX1749256","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749257","SRX1749257","SRX1749257","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749258","SRX1749258","SRX1749258","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749259","SRX1749259","SRX1749259","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749260","SRX1749260","SRX1749260","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749261","SRX1749261","SRX1749261","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749262","SRX1749262","SRX1749262","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749263","SRX1749263","SRX1749263","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749265","SRX1749265","SRX1749265","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749266","SRX1749266","SRX1749266","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749267","SRX1749267","SRX1749267","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749268","SRX1749268","SRX1749268","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749269","SRX1749269","SRX1749269","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749271","SRX1749271","SRX1749271","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749272","SRX1749272","SRX1749272","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749273","SRX1749273","SRX1749273","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749274","SRX1749274","SRX1749274","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749275","SRX1749275","SRX1749275","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749276","SRX1749276","SRX1749276","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749277","SRX1749277","SRX1749277","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749278","SRX1749278","SRX1749278","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749279","SRX1749279","SRX1749279","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749280","SRX1749280","SRX1749280","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749281","SRX1749281","SRX1749281","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749282","SRX1749282","SRX1749282","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749283","SRX1749283","SRX1749283","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749284","SRX1749284","SRX1749284","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749285","SRX1749285","SRX1749285","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749286","SRX1749286","SRX1749286","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749287","SRX1749287","SRX1749287","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749289","SRX1749289","SRX1749289","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749290","SRX1749290","SRX1749290","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749291","SRX1749291","SRX1749291","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749292","SRX1749292","SRX1749292","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749293","SRX1749293","SRX1749293","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749294","SRX1749294","SRX1749294","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749295","SRX1749295","SRX1749295","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749296","SRX1749296","SRX1749296","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749297","SRX1749297","SRX1749297","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749298","SRX1749298","SRX1749298","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749299","SRX1749299","SRX1749299","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749300","SRX1749300","SRX1749300","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749301","SRX1749301","SRX1749301","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749302","SRX1749302","SRX1749302","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749303","SRX1749303","SRX1749303","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749304","SRX1749304","SRX1749304","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749305","SRX1749305","SRX1749305","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749306","SRX1749306","SRX1749306","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749307","SRX1749307","SRX1749307","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749308","SRX1749308","SRX1749308","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749309","SRX1749309","SRX1749309","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749310","SRX1749310","SRX1749310","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749311","SRX1749311","SRX1749311","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749312","SRX1749312","SRX1749312","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749313","SRX1749313","SRX1749313","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749314","SRX1749314","SRX1749314","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749315","SRX1749315","SRX1749315","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749316","SRX1749316","SRX1749316","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749317","SRX1749317","SRX1749317","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749318","SRX1749318","SRX1749318","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749319","SRX1749319","SRX1749319","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749320","SRX1749320","SRX1749320","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749321","SRX1749321","SRX1749321","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749322","SRX1749322","SRX1749322","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749323","SRX1749323","SRX1749323","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749324","SRX1749324","SRX1749324","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749325","SRX1749325","SRX1749325","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749326","SRX1749326","SRX1749326","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749327","SRX1749327","SRX1749327","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749329","SRX1749329","SRX1749329","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749330","SRX1749330","SRX1749330","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749331","SRX1749331","SRX1749331","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749332","SRX1749332","SRX1749332","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749333","SRX1749333","SRX1749333","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749334","SRX1749334","SRX1749334","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749335","SRX1749335","SRX1749335","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749336","SRX1749336","SRX1749336","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749337","SRX1749337","SRX1749337","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749338","SRX1749338","SRX1749338","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749339","SRX1749339","SRX1749339","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749340","SRX1749340","SRX1749340","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749341","SRX1749341","SRX1749341","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749342","SRX1749342","SRX1749342","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749343","SRX1749343","SRX1749343","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749344","SRX1749344","SRX1749344","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749345","SRX1749345","SRX1749345","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749346","SRX1749346","SRX1749346","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749347","SRX1749347","SRX1749347","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749348","SRX1749348","SRX1749348","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749349","SRX1749349","SRX1749349","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749350","SRX1749350","SRX1749350","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749351","SRX1749351","SRX1749351","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749352","SRX1749352","SRX1749352","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749353","SRX1749353","SRX1749353","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749354","SRX1749354","SRX1749354","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749355","SRX1749355","SRX1749355","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749356","SRX1749356","SRX1749356","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749357","SRX1749357","SRX1749357","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749358","SRX1749358","SRX1749358","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749359","SRX1749359","SRX1749359","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749360","SRX1749360","SRX1749360","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749361","SRX1749361","SRX1749361","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749362","SRX1749362","SRX1749362","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749363","SRX1749363","SRX1749363","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749364","SRX1749364","SRX1749364","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749365","SRX1749365","SRX1749365","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749366","SRX1749366","SRX1749366","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749367","SRX1749367","SRX1749367","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749368","SRX1749368","SRX1749368","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749369","SRX1749369","SRX1749369","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749370","SRX1749370","SRX1749370","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749371","SRX1749371","SRX1749371","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749372","SRX1749372","SRX1749372","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749373","SRX1749373","SRX1749373","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749374","SRX1749374","SRX1749374","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749375","SRX1749375","SRX1749375","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749376","SRX1749376","SRX1749376","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749377","SRX1749377","SRX1749377","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749378","SRX1749378","SRX1749378","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749379","SRX1749379","SRX1749379","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749380","SRX1749380","SRX1749380","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749381","SRX1749381","SRX1749381","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749382","SRX1749382","SRX1749382","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749383","SRX1749383","SRX1749383","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749384","SRX1749384","SRX1749384","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749385","SRX1749385","SRX1749385","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749386","SRX1749386","SRX1749386","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749387","SRX1749387","SRX1749387","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749388","SRX1749388","SRX1749388","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749389","SRX1749389","SRX1749389","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749391","SRX1749391","SRX1749391","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749392","SRX1749392","SRX1749392","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749393","SRX1749393","SRX1749393","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749394","SRX1749394","SRX1749394","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749395","SRX1749395","SRX1749395","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749396","SRX1749396","SRX1749396","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749397","SRX1749397","SRX1749397","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749398","SRX1749398","SRX1749398","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749399","SRX1749399","SRX1749399","unknown",NA,NA,NA,NA,"SRP074593","S2"
